video,Fragment,Left Ear,Left Elbow,Left Eye,Left Foot,Left Hand,Left Hip,Left Knee,Left Shoulder,Neck,Nose,Right Ear,Right Elbow,Right Eye,Right Foot,Right Hand,Right Hip,Right Knee,Right Shoulder,video,Forward_leaning,speed (km/h)
3,2,7.055834587290839,8.039419326229531,9.456554837044537,5.716646610951084,9.304329511859173,6.088974585822593,6.520610637894296,7.493006580362795,7.489111625112967,9.00880560721272,13.279079979943505,8.585799908408347,8.10142453428417,6.6021073846465,10.827862322096122,6.17782885445185,6.1831655797533855,7.519169294572817,"(3, 2)",75.34739194281207,19.63645452987761
3,3,7.60812682929585,7.171055169765414,10.344570570303208,6.115991352410228,7.288396709465024,5.472567151480451,6.058646826277645,6.9647301397845265,6.098344657443336,7.573222269201275,10.91117947498738,8.064256022091993,9.413914725144927,6.652631355998634,12.18181204064574,5.464066505279384,6.130528890371773,7.081248541685571,"(3, 3)",71.24579545028152,19.80412194787005
4,0,5.8791006091650395,5.7018875738813035,6.570487628118783,8.453759570397981,8.801716119071406,6.443873127189146,7.765382771775635,5.118802351634764,5.349470499287011,6.702309018754704,6.745960690491502,6.800736902257356,6.475609058855338,9.076416680045483,8.640334497467883,6.641037586989534,7.801625755588599,5.174858530248284,"(4, 0)",71.02407475196519,19.427625985763452
4,1,7.479666849955651,6.415179941817152,8.860635709239578,9.985353762712517,6.737956397624702,4.97014276812717,6.154315624415693,5.449481880097047,5.4555762778250205,8.861260081093938,8.12925923299784,6.5632909729433235,6.706562893063102,8.62391264699395,9.44749597686982,5.466918490604704,5.9646578714791865,5.112711943924672,"(4, 1)",71.61417818144888,18.73898089717663
4,2,5.110897481489858,6.261952675453033,5.8030718852277285,9.063123637628568,10.370675242364001,6.495170965804688,7.920150149564986,5.017568798959669,5.369232940326966,6.114699609302447,5.604914105987804,7.681158571753149,5.9446716050406865,8.974176657275756,10.383509900040968,7.06662437100152,7.426281572712663,5.512457937573267,"(4, 2)",70.69962780633409,18.85952567820228
4,3,6.714282693713477,4.885656955234028,7.178384824458837,8.305360344082983,7.491992582204441,5.244139403059119,6.215363444041842,4.926208680744648,5.052305922094215,8.808764339558085,7.185936042952449,6.08898153344625,6.700136515476999,7.121730262228151,9.369103621057985,5.904015976526352,6.436638703605064,5.387116871203891,"(4, 3)",73.973799946284,18.072556431318045
5,0,3.5152571745019863,6.114888534256062,3.3513895091500827,8.831789284954622,8.935668229263262,6.256513818254648,7.038854657735025,4.4898977514477805,5.052317071930601,4.552356403626456,4.167213157750858,6.5064849324069955,4.152053110120059,8.541075412423693,8.364628629283187,6.337102319866945,6.825547915469094,5.093862373761471,"(5, 0)",78.65232330537266,20.51106737276879
5,1,4.044013240810027,5.763858764130186,3.900746543393294,7.971017078423936,7.726207700725289,5.077499498838275,6.601103273943541,4.389903461072209,5.052172526591381,4.091115993427621,4.15310778931349,6.201929434918325,4.42107611931055,7.856241766457678,10.716645182748607,5.678125709913922,6.63698756639279,5.48529807043633,"(5, 1)",78.5953897137812,19.170751349535898
5,2,4.668745409273179,6.055328176211459,4.903010963449971,8.573685980184173,8.313172390716806,5.795242913295381,5.847160472269196,5.253451319784694,5.451758920566467,6.056720955052843,6.657554970447466,6.799475918633086,6.0025030447181065,8.39798569943588,8.77612836180629,5.953019641982659,5.656966585365332,5.895707840053553,"(5, 2)",79.21337726087685,19.515747760962054
5,3,4.6576445912744475,5.695779125400412,5.000433726941344,8.669539176522388,9.335931919503116,5.8027159951266825,6.32021431608132,5.78040760979046,5.714727497955814,4.43946655646984,5.191385235525849,6.169492271989911,5.3609279237138185,7.773915821866175,11.129968537992918,5.8181620952799,6.371549480172997,5.570217027307212,"(5, 3)",76.44630039713726,17.901606331512234
6,0,6.352679751389023,4.174255808278011,6.950020398846085,4.00092221640329,8.434995660436357,6.5685268530667225,7.334486048322678,2.767304970179274,2.562075570158732,7.235035713850018,9.189440277365442,5.540261316396935,6.78078327558694,4.733865375585079,6.54766473690309,6.481651878060536,6.80812772024255,2.0636648671012816,"(6, 0)",77.4454312664256,21.45583508373271
